Ambitious,Broadminded,Capable,Cheerful,Clean,Courageous,Forgiving,Helpful,Honest,Imaginative,Independent,Intellectual,Logical,Loving,Obedient,Polite,Responsible,Self Controlled
0,0,-4,2,1,-2,0,0,4,5,-5,-3,3,0,0,0,0,-1
5,0,0,0,4,3,0,0,2,0,0,0,0,1,0,0,0,0
0,3,0,-3,-2,0,-4,-5,0,1,0,5,4,2,-1,0,0,0
4,0,1,-3,0,3,0,0,0,-1,0,5,2,-5,-2,-4,0,0
-5,0,2,5,-4,-1,4,0,0,-2,0,-3,3,1,0,0,0,0
4,1,0,-4,4,0,0,0,2,3,0,5,-2,3,-5,-3,0,0
-2.5,0,-2.5,-2.5,0,-2.5,2.5,-2.5,-2.5,-2.5,0,0,0,2.5,-2.5,0,0,-2.5
0,0,-3,-4,0,0,0,0,5,-1,4,3,0,2,-2,0,1,-5
5,0,4,3,0,0,0,0,0,0,-5,-4,0,1,-3,0,2,0
5,0,0,-4,3,0,-1,1,2,0,-2,4,0,0,-5,0,0,-3
3,2,0,0,-3,0,0,0,4,0,1,-1,0,5,-5,0,-2,-4
0,0,1,0,0,0,2,4,0,0,0,0,3,5,0,0,0,0
0,0,-5,3,0,0,-4,4,-2,0,1,5,0,2,-3,0,0,-1
0,2,0,1,0,-3,-1,0,5,0,-2,0,0,4,-5,-4,3,0
0,4,0,-1,0,3,2,0,1,-2,0,0,-3,5,-5,-4,0,0
4,3,-1,-3,-2,0,1,0,0,5,0,0,0,2,-5,0,0,-4
0,4,0,-4,0,-1,1,0,0,0,0,2,-3,0,-5,-2,5,0
-4,4,0,0,-3,0,0,2,3,-5,-1,-2,5,0,0,1,0,0
-2,0,0,0,0,3,2,0,1,0,4,-5,0,-3,0,-1,-4,5
0,2,0,0,0,0,4,0,3,0,1,0,0,5,0,0,0,0
-4,1,0,0,-3,0,5,0,2,0,4,0,0,3,-5,-2,0,-1
0,0,-3,0,0,0,-5,-1,0,0,-4,0,0,0,-2,0,0,0
5,-2.647058824,-3.823529412,-4.411764706,-3.235294118,2.058823529,1.470588235,-0.294117647,2.647058824,0.882352941,4.411764706,-5,-1.470588235,-0.882352941,0.294117647,3.235294118,3.823529412,-2.058823529
