A comfortable life,An exciting life,A sense of accomplishment,A world at peace,A world of beauty,Equality,Family security,Freedom,Happiness,Inner Harmony,Mature Love,National Security,Pleasure,Salvation,Self Respect,Social Recognition,True Friendship,Wisdom
0,3,-3,1,-5,0,0,2,4,-2,-1,0,0,-4,0,0,0,5
0,0,0,0,0,0,2,0,0,5,1,0,0,0,4,0,3,0
-5,0,0,0,0,0,0,4,3,-4,2,-2,0,-1,0,-3,5,1
-5,3,1,-2,-3,0,0,4,0,0,0,-1,0,-4,2,0,0,5
-1,0,0,0,-5,0,0,0,4,0,3,-4,0,-3,5,-2,2,0
-1,5,4,0,-4,0,3,1,-2,5,2,0,0,-5,0,-3,0,4
2,3,0,0,0,4,4,4,4,4,4,0,4,2,-5,4,2,4
-2,0,1,2,0,0,0,3,5,0,0,0,-3,-4,0,-5,4,0
0,3,4,0,0,0,2,0,1,-2,-1,0,0,-5,0,-4,5,-3
3,-3,0,2,0,1,0,5,4,0,0,-5,0,-2,0,-4,-1,0
0,2,0,1,-1,0,0,0,5,0,0,-4,-2,-5,3,-3,4,0
0,0,0,0,0,0,5,4,3,0,0,0,0,0,1,0,2,0
-5,1,0,2,0,5,0,4,3,-1,-2,0,0,-3,0,0,-4,0
5,3,1,-5,-3,0,0,5,4,0,0,-2,3,-4,4,1,2,0
-4,2,-5,-2,-3,0,0,4,5,-1,0,0,1,0,0,0,3,0
-4,5,0,1,0,4,0,0,3,0,-3,-5,0,-2,2,-1,0,0
0,-2,0,0,-4,0,0,-1,5,4,1,-3,0,-5,3,0,0,0
2,-1,0,0,-5,0,4,0,5,-2,0,0,0,-4,3,-3,0,1
-1,-5,-4,0,0,-3,1,5,0,0,3,0,0,0,2,0,4,-2
0,0,2,0,0,1,3,0,5,0,0,0,0,0,4,0,0,0
-5,3,0,0,-4,-2,1,4,0,0,0,0,0,-1,0,-3,2,5
0,0,0,-4,0,-1,0,0,0,-2,0,0,0,-3,0,-5,0,0
3.235294118,3.823529412,5,-5,-3.823529412,-2.058823529,0.882352941,-2.647058824,0.294117647,-0.294117647,4.411764706,-3.235294118,-0.882352941,-4.411764706,2.647058824,2.058823529,1.470588235,-1.470588235
